feature,coefficient,feature_type
currently,2.433454779953584,word (tfidf)
customer,1.2420997008896402,word (tfidf)
customers,1.4097989879482995,word (tfidf)
cut,0.3610742715185075,word (tfidf)
cute,0.14768532006275423,word (tfidf)
cuts,0.3112633602865484,word (tfidf)
cyber,0.18904094002924113,word (tfidf)
cyrus,-0.60723068097041,word (tfidf)
dad,1.0836233886891933,word (tfidf)
dads,-1.463817442717579,word (tfidf)
daily,-0.8154092994775313,word (tfidf)
dakota,0.09199152025831368,word (tfidf)
dallas,-0.9524329036585985,word (tfidf)
damage,-0.46866300691262086,word (tfidf)
damn,-1.849126189021774,word (tfidf)
dance,-0.6948198291747043,word (tfidf)
dancing,-0.6709394656280987,word (tfidf)
dangerous,-1.6638249035578494,word (tfidf)
dangers,0.3394710098948383,word (tfidf)
daniels,-0.13307438598717825,word (tfidf)
dark,-0.4612350066267149,word (tfidf)
data,-0.8448791796709899,word (tfidf)
date,1.303958122787938,word (tfidf)
dating,0.3053921363560323,word (tfidf)
daughter,-1.436336845875992,word (tfidf)
